,Crop_names,Crop_1_yield_sole,Crop_2_yield_sole,Crop_1_yield_intercropped,Crop_2_yield_intercropped,LER_tot
0,Maize/millet,9.14,5.77,5.21,2.29,0.97
1,Maize/millet,9.14,5.77,6.21,2.18,1.06
2,Maize/soybean,9.14,2.67,7.6,1.0,1.2
3,Maize/soybean,5.74,1.86,3.16,1.05,1.12
4,Maize/soybean,9.79,2.26,8.5,1.69,1.62
5,Maize/soybean,9.79,2.26,8.39,1.79,1.65
6,Maize/soybean,9.56,2.4,8.34,1.8,1.62
7,Maize/soybean,9.56,2.4,8.15,1.95,1.66
8,Maize/wheat,4.86,9.75,3.55,7.61,1.51
9,Maize/wheat,5.47,10.87,3.83,8.48,1.48
10,Wheat/faba bean,4.1,2.9,2.06,1.46,1.01
11,Wheat/faba bean,4.38,2.32,2.11,1.54,1.14
12,Wheat/faba bean,3.85,2.76,2.47,1.61,1.22
13,Wheat/faba bean,2.95,3.35,2.13,1.68,1.22
14,Maize/wheat,6.97,12.8,3.88,8.3,1.2
15,Maize/wheat,6.97,12.8,3.93,9.26,1.29
16,Maize/wheat,7.02,12.82,4.44,8.53,1.3
17,Maize/wheat,7.02,12.82,4.8,9.94,1.46
18,Wheat/faba bean,6.19,5.15,4.59,1.69,1.07
19,Wheat/faba bean,3.95,4.75,3.24,1.5,1.14
20,Wheat/faba bean,6.28,5.0,4.7,1.88,1.12
21,Wheat/faba bean,6.04,4.35,4.74,1.53,1.14
22,Wheat/faba bean,6.25,4.31,4.75,1.99,1.22
23,Wheat/faba bean,3.66,4.93,3.86,1.64,1.39
24,Maize/peanut,10.17,3.69,9.25,0.83,1.14
25,Maize/peanut,11.54,4.1,9.96,1.28,1.17
26,Maize/soybean,8.25,3.33,5.94,1.23,1.09
27,Maize/soybean,8.25,3.33,5.52,2.03,1.28
28,Maize/soybean,8.25,3.33,5.96,1.94,1.3
29,Maize/soybean,7.26,2.16,2.66,1.57,1.09
30,Maize/soybean,7.26,2.16,5.13,0.9,1.12
31,Maize/soybean,7.26,2.16,5.44,0.81,1.13
32,Maize/soybean,7.26,2.16,5.85,0.87,1.21
33,Maize/soybean,7.26,2.16,4.47,1.31,1.22
34,Maize/soybean,7.26,2.16,4.94,1.18,1.23
35,Maize/soybean,9.57,2.44,8.69,1.43,1.49
36,Maize/soybean,9.57,2.44,6.99,1.91,1.51
37,Maize/soybean,10.44,3.68,12.87,1.0,1.51
38,Maize/soybean,10.44,3.68,13.26,2.0,1.81
39,Maize/peanut,13.47,4.05,10.63,1.25,1.1
40,Maize/peanut,7.33,4.83,5.29,2.21,1.18
41,Maize/peanut,7.33,4.83,4.38,3.31,1.28
42,Maize/peanut,7.33,4.83,3.79,3.8,1.3
43,Maize/peanut,7.33,4.83,5.91,1.32,1.08
44,Sesame/peanut,2.55,7.79,0.86,6.48,1.17
45,Oilseed rape/faba bean,0.4,8.72,0.36,2.48,1.17
46,Oilseed rape/faba bean,3.13,10.52,3.53,3.49,1.46
47,Oilseed rape/faba bean,3.23,10.52,3.63,3.55,1.46
48,Oilseed rape/faba bean,2.37,10.52,3.2,3.34,1.67
49,Maize/pea,2.25,12.91,1.51,7.8,1.28
50,Maize/pea,2.25,9.4,1.39,8.92,1.56
51,Maize/pea,2.25,10.88,1.52,9.48,1.55
52,Maize/pea,2.25,11.78,1.5,10.12,1.53
53,Maize/pea,2.25,11.95,1.59,9.84,1.53
54,Maize/peanut,7.23,5.46,6.62,1.84,1.25
55,Maize/peanut,7.78,5.48,6.79,2.46,1.32
56,Maize/peanut,9.33,5.99,7.06,2.07,1.1
57,Maize/peanut,10.52,6.16,9.0,2.16,1.21
58,Maize/mung bean,7.49,1.09,9.1,0.64,1.8
59,Maize/mung bean,7.49,1.09,3.18,1.13,1.46
60,Maize/mung bean,7.49,1.09,4.34,0.38,0.93
61,Maize/mung bean,7.49,1.09,2.88,0.66,0.99
62,Maize/mung bean,7.49,1.09,5.03,0.28,0.93
63,Maize/mung bean,7.49,1.09,5.52,0.24,0.96
64,Maize/soybean,10.09,2.33,10.01,0.34,1.14
65,Maize/soybean,10.09,2.33,8.16,0.23,0.91
66,Maize/soybean,10.09,2.33,8.06,0.62,1.07
67,Maize/soybean,10.09,2.33,7.51,0.53,0.97
68,Maize/soybean,10.09,2.33,7.06,1.19,1.21
69,Maize/soybean,10.09,2.33,8.85,0.79,1.21
70,Maize/soybean,10.09,2.33,5.04,1.11,0.98
71,Maize/pea,7.76,3.02,4.79,1.37,1.07
72,Maize/pea,7.76,3.02,4.22,1.62,1.08
73,Maize/pea,12.09,3.77,8.93,2.61,1.43
74,Maize/pea,12.23,3.66,9.42,2.52,1.46
75,Maize/pea,12.09,3.77,10.43,2.39,1.5
76,Maize/pea,12.23,3.66,10.95,2.44,1.56
77,Wheat/faba bean,5.26,5.74,2.8,2.89,1.04
78,Wheat/faba bean,6.45,5.11,4.19,2.68,1.17
79,Maize/wheat,5.26,15.23,3.25,10.22,1.29
80,Maize/faba bean,11.62,5.11,8.11,3.36,1.36
81,Maize/faba bean,15.23,5.74,11.12,3.37,1.32
82,Maize/wheat,6.45,11.62,4.07,8.68,1.38
83,Maize/wheat,3.44,6.47,2.36,4.0,1.31
84,Maize/wheat,3.93,11.19,2.32,8.16,1.32
85,Maize/wheat,2.92,14.19,1.85,11.54,1.44
86,Maize/wheat,3.08,12.83,1.86,11.33,1.49
87,Maize/wheat,2.91,13.28,2.05,10.92,1.53
88,Maize/barley,8.94,12.82,6.09,4.84,1.06
89,Maize/barley,8.94,12.73,4.85,7.26,1.11
90,Maize/barley,8.94,13.69,4.76,9.51,1.23
91,Maize/barley,8.94,13.71,5.82,9.14,1.32
92,Maize/wheat,6.97,10.95,3.88,7.3,1.22
93,Maize/wheat,6.55,10.29,3.66,7.1,1.25
94,Maize/wheat,6.83,11.02,3.78,7.96,1.28
95,Maize/chickpea,13.65,4.65,7.8,1.26,0.84
96,Maize/chickpea,11.54,5.05,7.2,1.43,0.91
97,Maize/chickpea,11.26,3.66,7.35,1.49,1.06
98,Maize/wheat,7.17,8.61,4.22,6.62,1.36
99,Maize/wheat,5.6,7.86,4.19,5.44,1.44
100,Maize/wheat,6.07,8.3,4.39,6.55,1.51
101,Maize/wheat,5.62,10.25,3.4,7.09,1.3
102,Maize/wheat,5.71,10.48,3.67,7.42,1.35
103,Maize/wheat,5.98,11.19,3.98,7.94,1.38
104,Maize/wheat,6.97,10.95,3.88,7.3,1.22
105,Maize/wheat,6.55,10.29,3.66,7.1,1.25
106,Maize/wheat,6.83,11.02,3.78,7.96,1.28
107,Maize/wheat,7.37,10.56,4.59,9.97,1.57
108,Maize/wheat,7.28,10.23,4.5,9.83,1.58
109,Rice/peanut,4.66,2.57,3.7,1.47,1.37
110,Rice/peanut,4.23,2.61,3.67,1.42,1.41
111,Maize/faba bean,8.28,5.26,5.95,2.17,1.13
112,Maize/faba bean,9.28,5.01,7.26,2.73,1.33
113,Pea/faba bean,3.78,5.01,2.09,2.3,1.01
114,Maize/wheat,6.93,19.0,3.93,8.89,1.03
115,Maize/wheat,6.13,16.5,3.6,7.73,1.06
116,Maize/wheat,7.0,19.81,4.17,10.15,1.11
117,Maize/wheat,5.17,13.8,3.35,5.02,1.01
118,Maize/wheat,6.06,14.4,3.51,6.75,1.05
119,Maize/wheat,6.08,14.45,4.25,7.21,1.2
120,Maize/wheat,12.68,6.09,7.4,3.52,1.16
121,Maize/pea,12.68,2.9,8.45,1.68,1.24
122,Maize/wheat,11.85,6.55,7.4,3.93,1.22
123,Maize/pea,11.85,2.85,8.65,1.62,1.3
124,Maize/pea,10.64,2.73,8.81,1.79,1.48
125,Maize/wheat,10.64,6.76,8.12,4.28,1.4
126,Maize/wheat,5.5,12.2,3.89,6.14,1.21
127,Maize/wheat,4.7,10.8,4.03,6.71,1.48
128,Maize/wheat,5.2,8.6,3.5,7.75,1.57
129,Maize/wheat,5.9,12.9,4.42,8.89,1.44
130,Wheat/soybean,5.8,1.5,5.55,0.38,1.21
131,Wheat/soybean,6.4,1.6,6.23,0.45,1.25
132,Maize/barley,5.2,8.8,3.41,2.11,0.9
133,Maize/barley,6.1,13.0,3.84,4.68,0.99
134,Maize/barley,6.7,12.5,3.79,5.53,1.01
135,Maize/barley,6.0,11.2,4.45,3.63,1.07
136,Maize/wheat,6.0,12.5,3.51,6.0,1.06
137,Maize/wheat,5.5,12.9,3.41,6.0,1.09
138,Maize/wheat,4.1,8.8,2.61,4.42,1.14
139,Maize/faba bean,5.6,11.2,2.4,7.67,1.11
140,Maize/wheat,4.6,13.0,3.22,5.89,1.15
141,Maize/wheat,4.3,11.2,3.13,5.47,1.22
142,Maize/faba bean,5.1,12.9,2.57,9.0,1.2
143,Maize/faba bean,3.9,8.8,2.4,6.2,1.32
144,Maize/faba bean,4.7,12.5,2.47,9.13,1.26
145,Maize/faba bean,3.9,13.0,2.6,8.07,1.29
146,Maize/barley,5.7,12.9,4.69,6.21,1.3
147,Maize/barley,6.9,11.2,4.78,4.32,1.08
148,Maize/wheat,5.0,11.2,3.27,5.37,1.13
149,Maize/faba bean,2.6,11.2,1.17,8.53,1.21
150,Maize/faba bean,2.7,11.7,1.37,8.93,1.27
151,Maize/wheat,5.3,11.7,3.74,6.53,1.26
152,Maize/barley,7.9,11.7,5.59,6.95,1.3
153,Maize/pea,11.1,1.57,6.5,0.91,1.17
154,Maize/pea,12.3,1.57,8.1,1.09,1.35
155,Maize/pea,12.3,1.57,10.3,0.84,1.37
156,Maize/pea,11.1,1.57,10.6,0.79,1.46
157,Maize/pea,15.6,1.86,11.3,1.13,1.33
158,Maize/pea,15.6,1.86,9.2,1.43,1.36
159,Maize/pea,17.4,1.86,12.7,1.13,1.34
160,Maize/pea,17.4,1.86,11.2,1.35,1.37
161,Maize/wheat,5.71,10.76,4.01,6.37,1.29
162,Maize/wheat,5.71,10.48,3.67,7.42,1.35
163,Maize/wheat,6.97,11.0,3.93,5.88,1.1
164,Maize/wheat,6.97,10.95,3.88,7.3,1.22
165,Maize/wheat,5.54,10.34,3.58,6.7,1.29
166,Maize/wheat,5.54,10.74,3.48,7.48,1.32
167,Maize/wheat,6.45,16.11,3.72,8.81,1.12
168,Maize/wheat,6.45,16.11,4.36,8.98,1.23
169,Maize/wheat,6.15,13.17,3.66,7.05,1.13
170,Maize/wheat,6.15,13.17,4.25,7.14,1.23
171,Maize/oilseed rape,1.3,12.4,0.64,5.49,0.94
172,Maize/oilseed rape,1.2,12.8,0.73,5.83,1.06
173,Maize/oilseed rape,1.1,12.5,0.73,5.2,1.08
174,Maize/chickpea,4.3,12.8,2.14,7.66,1.1
175,Maize/faba bean,2.6,12.4,1.37,8.69,1.23
176,Maize/chickpea,4.1,12.4,2.31,8.29,1.23
177,Maize/faba bean,2.8,12.5,1.67,8.23,1.26
178,Maize/chickpea,3.6,12.5,2.19,8.0,1.25
179,Maize/faba bean,2.2,12.8,1.37,8.51,1.29
180,Maize/soybean,2.9,13.6,0.81,8.97,0.94
181,Maize/soybean,3.0,13.6,0.77,11.09,1.07
182,Maize/soybean,2.8,13.5,0.81,11.49,1.14
183,Maize/chickpea,3.3,13.6,1.33,10.17,1.15
184,Maize/turnip,1.0,13.6,0.51,9.6,1.22
185,Maize/faba bean,2.4,13.6,1.11,10.11,1.21
186,Maize/chickpea,3.2,13.6,1.24,11.03,1.2
187,Maize/turnip,0.9,13.5,0.43,11.09,1.3
188,Maize/faba bean,1.9,13.5,0.86,11.26,1.28
189,Maize/chickpea,3.1,13.5,1.29,11.54,1.27
190,Maize/faba bean,1.7,13.6,0.94,10.69,1.34
191,Maize/turnip,0.7,13.6,0.43,11.26,1.44
192,Maize/soybean,2.3,12.8,0.73,9.37,1.05
193,Maize/soybean,2.3,14.6,0.69,11.83,1.11
194,Maize/soybean,2.4,12.9,0.99,10.34,1.21
195,Maize/faba bean,2.0,14.6,1.29,8.51,1.23
196,Maize/turnip,1.3,12.8,0.6,10.63,1.29
197,Maize/chickpea,2.7,12.8,1.59,8.8,1.27
198,Maize/turnip,1.6,12.9,0.77,10.51,1.3
199,Maize/turnip,1.4,14.6,0.77,10.69,1.28
200,Maize/faba bean,1.8,12.8,1.16,8.63,1.32
201,Maize/faba bean,2.7,12.9,1.63,9.31,1.33
202,Maize/chickpea,3.4,12.9,1.97,9.77,1.34
203,Maize/chickpea,2.8,14.6,1.93,9.89,1.37
204,Maize/soybean,2.41,10.19,1.2,4.7,0.96
205,Maize/soybean,2.41,10.19,1.14,5.52,1.01
206,Maize/soybean,2.41,10.19,1.06,6.59,1.09
207,Maize/soybean,2.41,10.19,1.0,7.27,1.13
208,Maize/wheat,6.01,8.44,4.36,6.23,1.46
209,Maize/wheat,6.01,8.44,3.36,5.42,1.2
210,Maize/wheat,6.01,8.44,4.11,5.98,1.39
211,Maize/wheat,6.72,10.97,3.98,7.16,1.24
212,Maize/wheat,6.72,10.97,3.69,6.07,1.1
213,Maize/wheat,6.72,10.97,3.81,6.69,1.18
214,Maize/wheat,7.03,13.68,5.17,11.76,1.6
215,Maize/wheat,7.03,13.68,3.8,10.93,1.34
216,Maize/wheat,7.03,13.68,4.32,10.82,1.41
217,Maize/soybean,1.96,8.45,0.48,9.13,1.33
218,Maize/soybean,1.96,8.45,1.06,7.42,1.42
219,Maize/soybean,1.96,8.45,0.86,8.41,1.43
220,Maize/soybean,1.96,8.45,1.29,8.33,1.64
221,Maize/soybean,1.38,6.07,0.92,5.22,1.52
222,Maize/soybean,1.38,6.07,0.71,6.33,1.56
223,Maize/soybean,1.38,6.07,1.06,5.8,1.73
224,Maize/soybean,1.38,6.07,1.52,5.87,2.07
225,Maize/soybean,1.99,6.45,0.82,6.31,1.39
226,Maize/soybean,1.99,6.45,1.08,6.11,1.49
227,Maize/soybean,1.99,6.45,1.47,5.04,1.52
228,Maize/soybean,1.99,6.45,1.4,5.72,1.59
229,Maize/soybean,1.85,6.31,0.73,6.05,1.35
230,Maize/soybean,1.85,6.31,1.14,5.86,1.54
231,Maize/soybean,1.85,6.31,1.4,5.1,1.56
232,Maize/soybean,1.85,6.31,1.35,5.57,1.61
233,Maize/faba bean,3.58,6.85,1.94,4.32,1.17
234,Maize/faba bean,3.49,7.21,1.98,5.85,1.38
235,Maize/faba bean,3.48,8.97,1.88,7.93,1.42
236,Maize/faba bean,3.84,10.82,1.82,8.57,1.26
237,Maize/faba bean,3.4,12.2,1.89,8.95,1.29
238,Maize/faba bean,3.88,7.76,2.4,5.28,1.3
239,Maize/faba bean,5.55,9.67,2.4,6.85,1.14
240,Maize/faba bean,3.9,11.02,2.6,6.75,1.28
241,Maize/faba bean,5.12,10.97,2.56,9.07,1.33
242,Maize/faba bean,4.72,10.45,2.45,7.82,1.27
243,Maize/soybean,2.21,12.18,1.41,6.72,1.19
244,Maize/soybean,2.15,11.77,1.61,6.57,1.31
245,Maize/soybean,2.36,9.8,1.93,8.11,1.65
246,Maize/soybean,2.36,9.8,1.79,9.33,1.71
247,Maize/faba bean,2.97,9.18,2.25,4.49,1.25
248,Maize/faba bean,2.25,7.26,1.79,3.89,1.33
249,Maize/faba bean,2.24,8.76,1.32,6.89,1.38
250,Maize/faba bean,1.81,9.95,1.34,6.93,1.43
251,Maize/faba bean,2.07,7.67,1.48,6.34,1.54
252,Wheat/pea,5.45,1.59,3.02,0.94,1.14
253,Wheat/pea,5.45,1.59,4.13,0.63,1.15
254,Wheat/pea,5.45,1.59,2.31,1.18,1.17
255,Wheat/pea,4.72,1.46,1.88,1.01,1.09
256,Wheat/pea,4.72,1.46,3.66,0.53,1.14
257,Wheat/pea,4.72,1.46,2.69,0.89,1.18
258,Maize/wheat,3.47,11.23,1.64,7.45,1.14
259,Maize/wheat,3.47,11.23,1.73,9.79,1.37
260,Maize/wheat,3.47,11.23,1.81,10.98,1.5
261,Maize/wheat,3.47,11.23,1.63,10.44,1.4
262,Maize/wheat,3.47,11.23,1.91,8.35,1.29
263,Wheat/faba bean,6.17,6.09,4.51,1.2,0.93
264,Wheat/faba bean,8.21,5.32,6.03,1.38,0.99
265,Maize/faba bean,5.32,13.33,3.33,8.02,1.23
266,Maize/faba bean,6.09,10.85,3.66,7.21,1.27
267,Maize/soybean,1.81,16.69,0.13,10.03,0.68
268,Maize/soybean,1.91,7.34,0.19,6.14,0.94
269,Maize/faba bean,1.74,10.83,0.78,6.61,1.06
270,Maize/faba bean,2.01,13.62,1.04,7.93,1.1
271,Maize/pea,3.7,7.34,1.77,5.19,1.18
272,Maize/wheat,5.75,13.62,2.77,8.93,1.14
273,Maize/pea,3.66,16.69,1.72,11.68,1.17
274,Maize/faba bean,4.21,16.69,2.03,11.65,1.18
275,Maize/faba bean,1.23,7.48,0.95,5.26,1.48
276,Maize/wheat,5.42,10.83,3.27,7.2,1.27
277,Maize/wheat,3.97,7.48,3.05,4.87,1.42
278,Maize/faba bean,3.68,7.34,2.3,6.42,1.5
279,Maize/wheat,5.73,13.54,3.2,3.12,0.79
280,Maize/wheat,5.85,13.54,3.48,3.5,0.85
281,Maize/wheat,6.19,13.54,4.07,3.1,0.89
282,Maize/wheat,6.3,13.54,4.09,3.38,0.9
283,Maize/wheat,6.31,13.54,3.84,4.72,0.96
284,Maize/wheat,5.03,13.54,3.29,4.27,0.97
285,Maize/wheat,7.56,12.16,4.4,7.23,1.18
286,Maize/wheat,7.37,12.16,4.37,7.12,1.18
287,Maize/wheat,6.65,12.16,4.4,7.01,1.24
288,Maize/wheat,7.04,12.16,4.69,6.99,1.24
289,Maize/wheat,7.64,12.16,5.04,7.06,1.24
290,Maize/wheat,6.75,12.16,4.6,7.32,1.28
291,Maize/faba bean,3.71,10.72,1.75,6.26,1.06
292,Maize/faba bean,3.89,10.99,2.19,6.68,1.17
293,Maize/faba bean,3.95,12.64,2.64,6.89,1.21
294,Maize/faba bean,3.58,8.79,2.06,6.61,1.33
295,Maize/faba bean,3.87,11.61,2.24,8.54,1.31
296,Maize/faba bean,3.93,11.61,2.56,9.0,1.43
297,Maize/faba bean,3.55,8.79,2.34,7.98,1.57
298,Maize/chickpea,6.13,9.78,1.42,7.42,0.99
299,Maize/chickpea,5.97,9.39,1.37,7.45,1.02
300,Maize/oilseed rape,0.81,9.39,0.49,4.24,1.06
301,Maize/chickpea,6.79,9.2,1.06,8.12,1.04
302,Maize/oilseed rape,0.86,9.78,0.48,4.97,1.07
303,Maize/soybean,3.47,9.2,1.06,7.45,1.12
304,Maize/soybean,3.66,9.39,1.16,7.61,1.13
305,Maize/oilseed rape,0.73,9.2,0.53,4.02,1.17
306,Maize/soybean,4.02,9.78,1.22,8.13,1.13
307,Maize/faba bean,2.08,9.78,1.39,5.1,1.19
308,Maize/faba bean,2.08,9.39,1.54,4.71,1.24
309,Maize/faba bean,2.11,9.2,1.58,4.89,1.28
310,Wheat/faba bean,7.27,4.14,3.85,1.77,0.96
311,Wheat/faba bean,7.27,4.14,4.1,1.76,0.99
312,Wheat/faba bean,6.82,4.69,4.74,1.43,1.0
